id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,numObs,propObs,hrs.focalfollowed,focalcutoff_met
33T,M,2002,16,89K,80B,89K,R,12,M,79.66101695,409,0.010015182,1.254562304,Y
32Z,M,2004,14,J91,X81,J91,F,13,M,77.96610169,425,0.010406974,1.304606527,Y
3J7,M,2009,9,47Z,72O,47Z,V,14,M,76.27118644,337,0.008252118,1.029363302,Y
4E2,M,2007,11,67G,17L,67G,F,15,M,74.57627119,0,0,0,N
1B1,M,2004,14,36O,78B,36O,HH,16,M,72.88135593,321,0.007860326,0.979319079,Y
0G1,M,2007,11,K00,91O,K00,F,17,M,71.18644068,254,0.006219697,0.769758897,Y
19T,M,2002,16,V05,S76,V05,KK,18,M,69.49152542,408,0.009990695,1.25143454,Y
3I9,M,2009,9,6A4,50T,6A4,R,19,M,67.79661017,343,0.00839904,1.048129885,Y
2N0,M,2011,7,79Z,43P,79Z,F,20,M,66.10169492,154,0.003770998,0.456982505,N
4G8,M,2008,10,73B,89N,73B,F,21,M,64.40677966,349,0.008545962,1.066896469,Y
4K7,M,2010,8,3E7,8B3,3E7,F,22,M,62.71186441,489,0.011974142,1.504783417,Y
3I6,M,2009,9,61A,23T,61A,F,23,M,61.01694915,577,0.014128998,1.780026642,Y
3K1,M,2010,8,14L,36S,14L,F,24,M,59.3220339,238,0.005827905,0.719714674,Y
0J4,M,2009,9,16Z,50T,16Z,R,25,M,57.62711864,356,0.008717371,1.088790816,Y
8K1,M,2010,8,6C2,13I,6C2,KK,26,M,55.93220339,295,0.007223664,0.897997218,Y
25R,M,2001,17,V44,51A,V44,R,27,M,54.23728814,28,0.000685636,0.062884252,N
04T,M,2002,16,96G,80B,96G,R,28,M,52.54237288,450,0.011019149,1.382800624,Y
1F2,M,2007,11,81I,26P,81I,S,29,M,50.84745763,432,0.010578383,1.326500874,Y
36V,M,2003,15,35B,62D,35B,R,30,L,49.15254237,452,0.011068123,1.389056152,Y
5K8,M,2010,8,28G,02R,28G,HH,31,L,47.45762712,170,0.00416279,0.507026728,N
5B0,M,2005,13,81I,57D,81I,S,32,L,45.76271186,493,0.01207209,1.517294473,Y
5J1,M,2009,9,4C2,23T,4C2,F,33,L,44.06779661,251,0.006146236,0.760375605,Y
7G1,M,2008,10,39F,25I,39F,R,34,L,42.37288136,482,0.011802733,1.48288907,Y
73S,M,2002,16,29B,29F,29B,F,35,L,40.6779661,448,0.010970175,1.376545097,Y
9E3,M,2007,11,56E,30L,56E,F,36,L,38.98305085,0,0,0,N
5L4,M,2010,8,3D1,X80,3D1,S,37,L,37.28813559,316,0.007737891,0.96368026,Y
1D5,M,2006,12,04O,09K,04O,F,38,L,35.59322034,40,0.00097948,0.100417419,N
9K9,M,2010,8,06A,94O,06A,S,39,L,33.89830508,250,0.006121749,0.757247841,Y
0C7,M,2005,13,28J,10D,28J,F,40,L,32.20338983,467,0.011435428,1.435972611,Y
6K5,M,2010,8,0C8,49L,0C8,HH,41,L,30.50847458,334,0.008178657,1.01998001,Y
3I5,M,2009,9,14Z,17K,14Z,R,42,L,28.81355932,349,0.008545962,1.066896469,Y
0G8,M,2007,11,55H,02F,55H,F,43,L,27.11864407,224,0.005485087,0.67592598,Y
0H8,M,2009,9,X17,02R,X17,F,44,L,25.42372881,286,0.007003281,0.869847342,Y
0I9,M,2009,9,85T,72O,85T,V,45,L,23.72881356,434,0.010627357,1.332756402,Y
2D0,M,2006,12,X37,05I,X37,R,46,L,22.03389831,312,0.007639943,0.951169204,Y
6B8,M,2005,13,96G,80B,96G,R,47,L,20.33898305,286,0.007003281,0.869847342,Y
3M2,M,2011,7,24V,44T,24V,KK,48,L,18.6440678,190,0.00465253,0.569582006,N
8J3,M,2009,9,56A,40C,56A,F,49,L,16.94915254,331,0.008105196,1.010596718,Y
11Z,M,2003,15,74H,Z71,74H,R,50,L,15.25423729,134,0.003281258,0.394427227,N
1E5,M,2006,12,50I,07D,50I,F,51,L,13.55932203,0,0,0,N
2N8,M,2011,7,73B,04T,73B,F,52,L,11.86440678,177,0.004334199,0.528921075,N
3B9,M,2005,13,15O,50G,15O,R,53,L,10.16949153,404,0.009892747,1.238923484,Y
6E6,M,2007,11,42V,02R,42V,HH,54,L,8.474576271,0,0,0,N
6I9,M,2009,9,43J,22R,43J,F,55,L,6.779661017,148,0.003624076,0.438215922,N
7K4,M,2010,8,1E3,8A7,1E3,F,56,L,5.084745763,178,0.004358686,0.532048839,N
7M8,M,2011,7,97R,53N,97R,S,57,L,3.389830508,85,0.002081395,0.241166795,N
93R,M,2001,17,Z82,17A,Z82,S,58,L,1.694915254,248,0.006072775,0.750992313,Y
9F9,M,2007,11,30F,22O,30F,S,59,L,0,183,0.004481121,0.547687659,N
