date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2022-08-31,04T 2022-08-31 07:38:25 Daniel Phillips,1,04T,04T,Feed,NA,2022-08-31T07:38:25Z
2022-08-31,04T 2022-08-31 07:38:25 Daniel Phillips,2,04T,04T,Travel,NA,2022-08-31T07:43:26Z
2022-08-31,04T 2022-08-31 07:38:25 Daniel Phillips,3,04T,04T,Feed,NA,2022-08-31T07:48:26Z
2022-09-02,04T 2022-09-02 12:32:42 Daniel Phillips,1,04T,04T,Feed,NA,2022-09-02T12:32:42Z
2022-09-02,04T 2022-09-02 12:32:42 Daniel Phillips,2,04T,04T,Rest,NA,2022-09-02T12:37:43Z
2022-09-02,04T 2022-09-02 12:32:42 Daniel Phillips,3,04T,"04T, 0J4",Rest,Rest,2022-09-02T12:42:42Z
2022-09-14,04T 2022-09-14 11:16:43 Daniel Phillips,1,04T,04T,Rest,NA,2022-09-14T11:16:43Z
2022-09-14,04T 2022-09-14 11:16:43 Daniel Phillips,2,04T,04T,Feed,NA,2022-09-14T11:21:43Z
2022-09-14,04T 2022-09-14 11:16:43 Daniel Phillips,3,04T,04T,Travel,NA,2022-09-14T11:26:43Z
2022-11-29,04T 2022-11-29 09:51:39 Daniel Phillips,1,04T,04T,Feed,NA,2022-11-29T09:51:39Z
2022-11-29,04T 2022-11-29 09:51:39 Daniel Phillips,2,04T,04T,Travel,NA,2022-11-29T09:56:39Z
2022-11-29,04T 2022-11-29 09:51:39 Daniel Phillips,3,04T,04T,Feed,NA,2022-11-29T10:01:39Z
2022-12-06,04T 2022-12-06 08:22:52 Daniel Phillips,1,04T,04T,Rest,NA,2022-12-06T08:22:52Z
2022-12-06,04T 2022-12-06 08:22:52 Daniel Phillips,2,04T,04T,Travel,NA,2022-12-06T08:27:52Z
2022-12-06,04T 2022-12-06 08:22:52 Daniel Phillips,3,04T,04T,Feed,NA,2022-12-06T08:32:52Z
2022-02-23,0H8 2022-02-23 12:07:19 Daniel Phillips,1,0H8,0H8,Feed,NA,2022-02-23T12:07:19Z
2022-02-23,0H8 2022-02-23 12:07:19 Daniel Phillips,2,0H8,0H8,Travel,NA,2022-02-23T12:12:19Z
2022-02-23,0H8 2022-02-23 12:07:19 Daniel Phillips,3,0H8,0H8,Travel,NA,2022-02-23T12:17:19Z
2022-03-03,0H8 2022-03-03 08:44:28 Daniel Phillips,1,0H8,"0H8, 5U5",Feed,Feed,2022-03-03T08:44:28Z
2022-03-03,0H8 2022-03-03 08:44:28 Daniel Phillips,2,0H8,0H8,Feed,NA,2022-03-03T08:49:28Z
2022-03-03,0H8 2022-03-03 08:44:28 Daniel Phillips,3,0H8,0H8,Feed,NA,2022-03-03T08:54:28Z
2022-03-17,0H8 2022-03-17 08:21:27 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-03-17T08:21:27Z
2022-03-17,0H8 2022-03-17 08:21:27 Daniel Phillips,2,0H8,0H8,Travel,NA,2022-03-17T08:26:28Z
2022-03-17,0H8 2022-03-17 08:21:27 Daniel Phillips,3,0H8,0H8,Travel,NA,2022-03-17T08:31:28Z
2022-03-21,0H8 2022-03-21 13:36:41 Daniel Phillips,1,0H8,0H8,Rest,NA,2022-03-21T13:36:41Z
2022-03-21,0H8 2022-03-21 13:36:41 Daniel Phillips,2,0H8,0H8,Rest,NA,2022-03-21T13:41:41Z
2022-03-21,0H8 2022-03-21 13:36:41 Daniel Phillips,3,0H8,0H8,Rest,NA,2022-03-21T13:46:41Z
