id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
1J0,M,2009,12,7A6,11Z,7A6,R,NA,NA,NA,NA,3.5,Y
73V,M,2003,18,T83,Z46,T83,S,NA,NA,NA,NA,3.5,Y
4K7,M,2010,11,3E7,8B3,3E7,F,NA,NA,NA,NA,3.6666666666666665,Y
6Q5,M,2013,8,29Z,8A7,29Z,MM,NA,NA,NA,NA,3.5,Y
2I2,M,2009,12,T03,51A,T03,V,NA,NA,NA,NA,3.6666666666666665,Y
0R8,M,2013,8,5G9,9D1,5G9,MM,NA,NA,NA,NA,3.6666666666666665,Y
5E1,M,2007,14,90D,36S,90D,F,NA,NA,NA,NA,3.5,Y
8C0,M,2006,15,93O,94H,37D,KK,NA,NA,NA,NA,3.5,Y
6F0,M,2007,14,74K,S81,74K,S,NA,NA,NA,NA,3.1666666666666665,Y
93R,M,2001,20,Z82,17A,Z82,S,NA,NA,NA,NA,0.16666666666666666,N
