groom_giver,groom_reciever,constrained_duration,observation_name
1I6,5K8,98,1I6 2021-07-21 07:52:41 Daniel Phillips
2G2,9R8,53,2G2 2021-07-21 08:33:24 Daniel Phillips
9R8,2G2,65,2G2 2021-07-21 08:33:24 Daniel Phillips
1I6,7K4,82,7K4 2021-07-21 12:48:08 Daniel Phillips
7K8,6K5,104,7K8 2021-07-22 13:11:29 Daniel Phillips
6K5,7K8,332,7K8 2021-07-22 13:11:29 Daniel Phillips
5U5,7K8,111,5U5 2021-07-26 09:49:55 Daniel Phillips
8R5,4U1,403,8R5 2021-07-28 11:45:00 Daniel Phillips
2G3,5U4,31,5U4 2021-07-28 12:38:48 Daniel Phillips
3U0,1I6,32,1I6 2021-07-28 13:48:35 Daniel Phillips
1K1,77I,178,1K1 2021-07-29 13:24:27 Daniel Phillips
81O,2I3,56,2I3 2021-08-02 09:37:26 Daniel Phillips
3U0,4O4,477,3U0 2021-08-02 12:15:44 Daniel Phillips
4O4,3U0,24,3U0 2021-08-02 12:15:44 Daniel Phillips
5K8,5L7,348,5L7 2021-08-03 13:43:13 Daniel Phillips
1Q7,1G4,96,1Q7 2021-08-04 09:53:36 Daniel Phillips
0S1,6E6,586,6E6 2021-08-05 11:39:43 Daniel Phillips
5U4,2G3,76,5U4 2021-08-05 13:05:49 Daniel Phillips
9M8,04T,581,04T 2021-08-09 12:34:15 Daniel Phillips
5U5,7K8,117,7K8 2021-08-12 11:02:20 Daniel Phillips
1K1,0S5,97,0S5 2021-08-12 13:18:33 Daniel Phillips
0S5,0M4,385,0S5 2021-08-12 13:18:33 Daniel Phillips
8R7,5E8,308,5E8 2021-08-13 08:04:36 Daniel Phillips
5E8,8R7,71,5E8 2021-08-13 08:04:36 Daniel Phillips
33T,7C4,355,33T 2021-08-13 08:16:01 Daniel Phillips
2N0,3P6,165,2N0 2021-08-19 12:56:08 Daniel Phillips
3P6,2N0,258,2N0 2021-08-19 12:56:08 Daniel Phillips
93T,0S6,138,0S6 2021-08-20 07:51:21 Daniel Phillips
04T,9M8,92,04T 2021-08-20 11:48:26 Daniel Phillips
1I7,6U3,397,1I7 2021-08-20 12:34:10 Daniel Phillips
6U3,1I7,138,1I7 2021-08-20 12:34:10 Daniel Phillips
3U4,0S1,46,0S1 2021-08-20 12:45:18 Daniel Phillips
1B1,93T,59,93T 2021-08-20 13:22:35 Daniel Phillips
93T,1B1,263,93T 2021-08-20 13:22:35 Daniel Phillips
1B1,93T,212,93T 2021-08-20 13:22:35 Daniel Phillips
0S6,52Z,162,52Z 2021-08-23 07:54:32 Daniel Phillips
5U4,9R8,19,5U4 2021-08-23 08:05:09 Daniel Phillips
5O0,5U5,25,5U5 2021-08-23 12:26:42 Daniel Phillips
5P4,7J0,51,5P4 2021-08-23 13:50:23 Daniel Phillips
1K1,4U1,50,1K1 2021-08-24 08:10:48 Daniel Phillips
6T0,7D2,43,6T0 2021-08-24 13:43:48 Daniel Phillips
6T0,7D2,265,6T0 2021-08-24 13:43:48 Daniel Phillips
6E6,3D9,120,6E6 2021-08-25 13:48:58 Daniel Phillips
8N3,4O4,278,8N3 2021-08-26 11:25:25 Daniel Phillips
5E8,8R7,115,8R7 2021-08-27 08:21:00 Daniel Phillips
1I6,3U0,166,1I6 2021-08-31 11:06:02 Daniel Phillips
1I6,1F2,176,1I6 2021-08-31 11:06:02 Daniel Phillips
7K4,1F2,240,1F2 2021-09-01 11:27:01 Daniel Phillips
1Q7,1G4,87,1Q7 2021-09-01 11:59:49 Daniel Phillips
1Q7,4U1,39,1Q7 2021-09-01 11:59:49 Daniel Phillips
0M4,0M1,182,0M4 2021-09-02 11:24:06 Daniel Phillips
6P9,2N8,298,2N8 2021-09-02 12:48:50 Daniel Phillips
6U1,5O0,84,6U1 2021-09-02 13:15:06 Daniel Phillips
9P3,0S6,25,0S6 2021-09-07 08:49:50 Daniel Phillips
0S6,9P3,152,0S6 2021-09-07 08:49:50 Daniel Phillips
3U4,0S1,120,0S1 2021-09-21 12:36:32 Daniel Phillips
0S1,3U4,56,0S1 2021-09-21 12:36:32 Daniel Phillips
4O4,4U8,250,4U8 2021-09-21 13:09:56 Daniel Phillips
